what,kind,bundleId,bundleVersion,description,time
activated,view,com.android.ide.eclipse.ddms,21.0.1.v201212060256-543035,"com.android.ide.eclipse.ddms.views.LogCatView",1362521346547
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362521355203
activated,view,com.android.ide.eclipse.ddms,21.0.1.v201212060256-543035,"com.android.ide.eclipse.ddms.views.LogCatView",1362521355331
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362521363744
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362521368888
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362521387771
activated,view,com.android.ide.eclipse.ddms,21.0.1.v201212060256-543035,"com.android.ide.eclipse.ddms.views.LogCatView",1362521387897
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362521388704
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.saveAll",1362521438297
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362521443210
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362521443367
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362521443473
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362521444924
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.smartEnter",1362521457792
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.copy",1362521470703
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362521489454
executed,command,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.edit.text.java.generate.tostring",1362521495016
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362521495018
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.cut",1362521501709
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1362521504524
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.saveAll",1362521516376
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362521517412
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362521520196
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362521523263
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362521525225
activated,view,com.android.ide.eclipse.ddms,21.0.1.v201212060256-543035,"com.android.ide.eclipse.ddms.views.LogCatView",1362521596454
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362521602665
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.undo",1362521640086
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.undo",1362521640671
activated,view,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.PackageExplorer",1362521654594
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362521654896
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362521664680
opened,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1362521668041
activated,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1362521668087
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362521668180
started,bundle,com.aptana.interactive_console,2.7.1.2012100913,"com.aptana.interactive_console",1362521668569
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362521677195
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362521679143
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362521682766
error,log,,,"Referenced part does not exist yet: org.eclipse.ui.views.ProblemView.",1362521686056
activated,perspective,org.eclipse.debug.ui,3.8.1.v20120718-192144,"org.eclipse.debug.ui.DebugPerspective",1362521686128
opened,view,org.eclipse.debug.ui,3.8.1.v20120718-192144,"org.eclipse.debug.ui.DebugView",1362521686728
opened,view,org.eclipse.debug.ui,3.8.1.v20120718-192144,"org.eclipse.debug.ui.VariableView",1362521686959
opened,view,org.eclipse.ui.views,3.6.100.v20120705-114010,"org.eclipse.ui.views.ContentOutline",1362521687179
activated,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1362521687782
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1362521688439
opened,view,org.eclipse.debug.ui,3.8.1.v20120718-192144,"org.eclipse.debug.ui.BreakpointView",1362521689274
opened,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.ClassFileEditor",1362521690003
executed,command,org.eclipse.debug.ui,3.8.1.v20120718-192144,"org.eclipse.debug.ui.commands.Resume",1362521703683
activated,view,org.eclipse.debug.ui,3.8.1.v20120718-192144,"org.eclipse.debug.ui.DebugView",1362521714591
activated,editor,org.eclipse.jdt.ui,3.8.1.v20120814-144251,"org.eclipse.jdt.ui.CompilationUnitEditor",1362521723171
